event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,argos:altitude,argos:best-level,argos:calcul-freq,argos:error-radius,argos:gdop,argos:iq,argos:lat1,argos:lat2,argos:lc,argos:lon1,argos:lon2,argos:nb-mes,argos:nb-mes-120,argos:nopc,argos:orientation,argos:pass-duration,argos:semi-major,argos:semi-minor,argos:sensor-1,argos:sensor-2,argos:sensor-3,argos:sensor-4,argos:valid-location-algorithm,external-temperature,gps:fix-type-raw,gps:satellite-count,gps-time-to-fix,ground-speed,gt:activity-count,gt:sys-week,gt:tx-count,heading,height-above-ellipsoid,import-marked-outlier,location-error-text,lotek:crc-status,lotek:crc-status-text,mortality-status,tag-voltage,vertical-error-numerical,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
31683006032,TRUE,2024-02-14 04:01:04,46.6218872,-20.2360954,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,800,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31683830055,TRUE,2024-02-14 04:01:04,46.6218872,-20.2360954,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,800,FALSE,,C,OK(corrected),0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31699540959,TRUE,2024-02-16 03:01:20,46.6218872,-20.2361221,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,815,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31689862328,TRUE,2024-02-15 02:59:12,46.6218872,-20.2361984,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,767,FALSE,,C,OK(corrected),0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31692245341,TRUE,2024-02-15 02:59:12,46.6218872,-20.2361984,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,767,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31776095021,TRUE,2024-02-21 15:00:16,46.6219139,-20.2363262,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,796,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31710256434,TRUE,2024-02-17 03:58:56,46.6219406,-20.2362232,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,804,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31778615485,TRUE,2024-02-21 16:00:00,46.6219635,-20.2363529,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,792,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31683006031,TRUE,2024-02-14 03:01:20,46.6220169,-20.2363262,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,737,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
33342329644,TRUE,2024-05-29 03:32:49,46.62203,-20.23427,,790,-131,4.0165576301E8,252,208,58,-20.23427,-20.23427,2,46.62203,46.62203,5,0,3,56,376,328,193,114,91,188,155,1,,,,,,,,,,,,,,,,,,argos-doppler-shift,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31700386454,TRUE,2024-02-15 01:38:35,46.62209,-20.23474,,788,-122,4.0165569378E8,399,170,48,-20.23474,-20.23474,2,46.62209,46.62209,8,0,3,102,504,993,160,116,87,187,27,1,,,,,,,,,,,,,,,,,,argos-doppler-shift,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31689862327,TRUE,2024-02-15 01:59:28,46.6221199,-20.2360954,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,836,FALSE,,C,OK(corrected),0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31692245340,TRUE,2024-02-15 01:59:28,46.6221199,-20.2360954,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,836,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31689862326,TRUE,2024-02-15 00:59:44,46.6221199,-20.2363777,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,689,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31700386914,TRUE,2024-02-16 15:02:24,46.6225777,-20.2365055,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,837,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31713877370,TRUE,2024-02-17 15:00:16,46.6227074,-20.236454,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,784,FALSE,,C,OK(corrected),0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31715846869,TRUE,2024-02-17 15:00:16,46.6227074,-20.236454,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,784,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31733684738,TRUE,2024-02-18 15:02:24,46.6227341,-20.2364025,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,810,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31733684737,TRUE,2024-02-18 08:59:44,46.6227341,-20.2364292,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,790,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31700386455,TRUE,2024-02-15 03:12:25,46.62434,-20.2348,,787,-124,4.0165569849E8,173,200,58,-20.2348,-20.2348,3,46.62434,46.62434,7,0,3,79,375,438,68,116,16,82,24,1,,,,,,,,,,,,,,,,,,argos-doppler-shift,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31788373667,TRUE,2024-02-22 08:59:44,46.6268539,-20.2351227,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,804,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31788373665,TRUE,2024-02-22 02:01:36,46.629055,-20.2684803,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,919,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31804528690,TRUE,2024-02-22 02:01:36,46.629055,-20.2684803,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,919,FALSE,,C,OK(corrected),0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31700386915,TRUE,2024-02-16 16:02:08,46.629158,-20.2413445,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,797,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31692245343,TRUE,2024-02-15 16:00:00,46.6312561,-20.2956161,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,947,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31713877371,TRUE,2024-02-17 16:00:00,46.6322823,-20.2464123,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,816,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
33441396788,TRUE,2024-05-29 00:59:44,46.6334076,-20.3354759,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,1279,FALSE,,C,OK(corrected),0,3800,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
33463805552,TRUE,2024-05-29 00:59:44,46.6334076,-20.3354759,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,1279,FALSE,,G,OK,0,3800,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31715846870,TRUE,2024-02-17 16:59:44,46.6337662,-20.3016319,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,934,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
31699540958,TRUE,2024-02-16 02:01:36,46.6342773,-20.3116169,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,1052,FALSE,,G,OK,0,4000,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
33441396794,TRUE,2024-05-29 16:59:44,46.6353264,-20.2649212,,,,,,,,,,,,,,,,,,,,,,,,,,3D,,,,,,,,883,FALSE,,C,OK(corrected),0,3800,,gps,Pteropus rufus,254416,MAN014,Malagasy Pteropodid Telemetry
